Device Name,Management IP,CPU Utilization Average,Timestamp
R1,10.0.101.1,54.89,2024-09-16 23:32:24
R2,10.0.101.2,55.11,2024-09-16 23:32:56
R1,10.0.101.1,55.44,2024-09-16 23:33:04
R1,10.0.101.1,55.11,2024-09-17 00:24:08
R1,10.0.101.1,50.11,2024-09-21 17:22:10
